sample_name,library,filename,filename2,library_ID
RIAIL_137,CB-2,RIAIL_137_S514_L006_R1_001.fastq.gz,RIAIL_137_S514_L006_R2_001.fastq.gz,RIAIL_137:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_138,CB-2,RIAIL_138_S515_L006_R1_001.fastq.gz,RIAIL_138_S515_L006_R2_001.fastq.gz,RIAIL_138:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_139,CB-2,RIAIL_139_S516_L006_R1_001.fastq.gz,RIAIL_139_S516_L006_R2_001.fastq.gz,RIAIL_139:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_140,CB-2,RIAIL_140_S517_L006_R1_001.fastq.gz,RIAIL_140_S517_L006_R2_001.fastq.gz,RIAIL_140:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_141,CB-2,RIAIL_141_S518_L006_R1_001.fastq.gz,RIAIL_141_S518_L006_R2_001.fastq.gz,RIAIL_141:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_142,CB-2,RIAIL_142_S519_L006_R1_001.fastq.gz,RIAIL_142_S519_L006_R2_001.fastq.gz,RIAIL_142:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_143,CB-2,RIAIL_143_S520_L006_R1_001.fastq.gz,RIAIL_143_S520_L006_R2_001.fastq.gz,RIAIL_143:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_144,CB-2,RIAIL_144_S521_L006_R1_001.fastq.gz,RIAIL_144_S521_L006_R2_001.fastq.gz,RIAIL_144:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_145,CB-2,RIAIL_145_S522_L006_R1_001.fastq.gz,RIAIL_145_S522_L006_R2_001.fastq.gz,RIAIL_145:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_146,CB-2,RIAIL_146_S523_L006_R1_001.fastq.gz,RIAIL_146_S523_L006_R2_001.fastq.gz,RIAIL_146:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_147,CB-2,RIAIL_147_S524_L006_R1_001.fastq.gz,RIAIL_147_S524_L006_R2_001.fastq.gz,RIAIL_147:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_148,CB-2,RIAIL_148_S525_L006_R1_001.fastq.gz,RIAIL_148_S525_L006_R2_001.fastq.gz,RIAIL_148:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_149,CB-2,RIAIL_149_S526_L006_R1_001.fastq.gz,RIAIL_149_S526_L006_R2_001.fastq.gz,RIAIL_149:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_150,CB-2,RIAIL_150_S527_L006_R1_001.fastq.gz,RIAIL_150_S527_L006_R2_001.fastq.gz,RIAIL_150:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_151,CB-2,RIAIL_151_S528_L006_R1_001.fastq.gz,RIAIL_151_S528_L006_R2_001.fastq.gz,RIAIL_151:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_152,CB-2,RIAIL_152_S529_L006_R1_001.fastq.gz,RIAIL_152_S529_L006_R2_001.fastq.gz,RIAIL_152:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_153,CB-2,RIAIL_153_S530_L006_R1_001.fastq.gz,RIAIL_153_S530_L006_R2_001.fastq.gz,RIAIL_153:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_154,CB-2,RIAIL_154_S531_L006_R1_001.fastq.gz,RIAIL_154_S531_L006_R2_001.fastq.gz,RIAIL_154:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_155,CB-2,RIAIL_155_S532_L006_R1_001.fastq.gz,RIAIL_155_S532_L006_R2_001.fastq.gz,RIAIL_155:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_156,CB-2,RIAIL_156_S533_L006_R1_001.fastq.gz,RIAIL_156_S533_L006_R2_001.fastq.gz,RIAIL_156:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_159,CB-2,RIAIL_159_S534_L006_R1_001.fastq.gz,RIAIL_159_S534_L006_R2_001.fastq.gz,RIAIL_159:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_160,CB-2,RIAIL_160_S535_L006_R1_001.fastq.gz,RIAIL_160_S535_L006_R2_001.fastq.gz,RIAIL_160:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_161,CB-2,RIAIL_161_S536_L006_R1_001.fastq.gz,RIAIL_161_S536_L006_R2_001.fastq.gz,RIAIL_161:CB-2:paired:WGS:IlluminaHiSeq4000
